"","x"
"1","(pasajero (id 611) (Clase T) (Sexo female) (Edad A) (Precio B))"
"2","(pasajero (id 434) (Clase T) (Sexo male) (Edad J) (Precio C))"
"3","(pasajero (id 57) (Clase S) (Sexo female) (Edad J) (Precio C))"
"4","(pasajero (id 490) (Clase T) (Sexo male) (Edad N) (Precio B))"
"5","(pasajero (id 367) (Clase P) (Sexo female) (Edad M) (Precio A))"
"6","(pasajero (id 315) (Clase S) (Sexo male) (Edad M) (Precio B))"
"7","(pasajero (id 669) (Clase T) (Sexo male) (Edad M) (Precio C))"
"8","(pasajero (id 459) (Clase S) (Sexo female) (Edad M) (Precio C))"
"9","(pasajero (id 180) (Clase T) (Sexo male) (Edad A) (Precio C))"
"10","(pasajero (id 766) (Clase P) (Sexo female) (Edad M) (Precio A))"
"11","(pasajero (id 199) (Clase T) (Sexo female) (Edad A) (Precio C))"
"12","(pasajero (id 104) (Clase T) (Sexo male) (Edad A) (Precio C))"
"13","(pasajero (id 654) (Clase T) (Sexo female) (Edad A) (Precio C))"
"14","(pasajero (id 819) (Clase T) (Sexo male) (Edad M) (Precio C))"
"15","(pasajero (id 782) (Clase P) (Sexo female) (Edad J) (Precio A))"
"16","(pasajero (id 297) (Clase T) (Sexo male) (Edad J) (Precio C))"
"17","(pasajero (id 775) (Clase S) (Sexo female) (Edad M) (Precio B))"
"18","(pasajero (id 353) (Clase T) (Sexo male) (Edad J) (Precio C))"
"19","(pasajero (id 665) (Clase T) (Sexo male) (Edad J) (Precio C))"
"20","(pasajero (id 670) (Clase P) (Sexo female) (Edad A) (Precio A))"
