"","MYCT","MMIN","MMAX","CACH","CHMIN","CHMAX","class"
"1",125,256,6000,256,16,128,"Alto"
"2",29,8000,32000,32,8,32,"Alto"
"3",29,8000,32000,32,8,32,"Alto"
"4",29,8000,32000,32,8,32,"Alto"
"5",29,8000,16000,32,8,16,"Alto"
"6",26,8000,32000,64,8,32,"Muy alto"
"7",23,16000,32000,64,16,32,"Muy alto"
"8",23,16000,32000,64,16,32,"Muy alto"
"9",23,16000,64000,64,16,32,"Muy alto"
"10",23,32000,64000,128,32,64,"Muy alto"
"11",400,1000,3000,0,1,2,"Medio"
"12",400,512,3500,4,1,6,"Medio"
"13",60,2000,8000,65,1,8,"Alto"
"14",50,4000,16000,65,1,8,"Alto"
"15",350,64,64,0,1,4,"Bajo"
"16",200,512,16000,0,4,32,"Medio"
"17",167,524,2000,8,4,15,"Bajo"
"18",143,512,5000,0,7,32,"Medio"
"19",143,1000,2000,0,5,16,"Medio"
"20",110,5000,5000,142,8,64,"Alto"
"21",143,1500,6300,0,5,32,"Medio"
"22",143,3100,6200,0,5,20,"Medio"
"23",143,2300,6200,0,6,64,"Medio"
"24",110,3100,6200,0,6,64,"Medio"
"25",320,128,6000,0,1,12,"Medio"
"26",320,512,2000,4,1,3,"Medio"
"27",320,256,6000,0,1,6,"Medio"
"28",320,256,3000,4,1,3,"Medio"
"29",320,512,5000,4,1,5,"Medio"
"30",320,256,5000,4,1,6,"Medio"
"31",25,1310,2620,131,12,24,"Alto"
"32",25,1310,2620,131,12,24,"Muy alto"
"33",50,2620,10480,30,12,24,"Medio"
"34",50,2620,10480,30,12,24,"Medio"
"35",56,5240,20970,30,12,24,"Alto"
"36",64,5240,20970,30,12,24,"Alto"
"37",50,500,2000,8,1,4,"Bajo"
"38",50,1000,4000,8,1,5,"Medio"
"39",50,2000,8000,8,1,5,"Medio"
"40",50,1000,4000,8,3,5,"Medio"
"41",50,1000,8000,8,3,5,"Medio"
"42",50,2000,16000,8,3,5,"Medio"
"43",50,2000,16000,8,3,6,"Medio"
"44",50,2000,16000,8,3,6,"Medio"
"45",133,1000,12000,9,3,12,"Medio"
"46",133,1000,8000,9,3,12,"Medio"
"47",810,512,512,8,1,1,"Bajo"
"48",810,1000,5000,0,1,1,"Bajo"
"49",320,512,8000,4,1,5,"Medio"
"50",200,512,8000,8,1,8,"Medio"
"51",700,384,8000,0,1,1,"Medio"
"52",700,256,2000,0,1,1,"Medio"
"53",140,1000,16000,16,1,3,"Alto"
"54",200,1000,8000,0,1,2,"Medio"
"55",110,1000,4000,16,1,2,"Medio"
"56",110,1000,12000,16,1,2,"Medio"
"57",220,1000,8000,16,1,2,"Medio"
"58",800,256,8000,0,1,4,"Bajo"
"59",800,256,8000,0,1,4,"Bajo"
"60",800,256,8000,0,1,4,"Bajo"
"61",800,256,8000,0,1,4,"Bajo"
"62",800,256,8000,0,1,4,"Bajo"
"63",125,512,1000,0,8,20,"Medio"
"64",75,2000,8000,64,1,38,"Alto"
"65",75,2000,16000,64,1,38,"Alto"
"66",75,2000,16000,128,1,38,"Alto"
"67",90,256,1000,0,3,10,"Bajo"
"68",105,256,2000,0,3,10,"Medio"
"69",105,1000,4000,0,3,24,"Medio"
"70",105,2000,4000,8,3,19,"Medio"
"71",75,2000,8000,8,3,24,"Medio"
"72",75,3000,8000,8,3,48,"Medio"
"73",175,256,2000,0,3,24,"Bajo"
"74",300,768,3000,0,6,24,"Medio"
"75",300,768,3000,6,6,24,"Medio"
"76",300,768,12000,6,6,24,"Medio"
"77",300,768,4500,0,1,24,"Medio"
"78",300,384,12000,6,1,24,"Medio"
"79",300,192,768,6,6,24,"Medio"
"80",180,768,12000,6,1,31,"Alto"
"81",330,1000,3000,0,2,4,"Bajo"
"82",300,1000,4000,8,3,64,"Medio"
"83",300,1000,16000,8,2,112,"Medio"
"84",330,1000,2000,0,1,2,"Bajo"
"85",330,1000,4000,0,3,6,"Bajo"
"86",140,2000,4000,0,3,6,"Medio"
"87",140,2000,4000,0,4,8,"Medio"
"88",140,2000,4000,8,1,20,"Medio"
"89",140,2000,32000,32,1,20,"Alto"
"90",140,2000,8000,32,1,54,"Medio"
"91",140,2000,32000,32,1,54,"Alto"
"92",140,2000,32000,32,1,54,"Alto"
"93",140,2000,4000,8,1,20,"Bajo"
"94",57,4000,16000,1,6,12,"Alto"
"95",57,4000,24000,64,12,16,"Alto"
"96",26,16000,32000,64,16,24,"Muy alto"
"97",26,16000,32000,64,8,24,"Muy alto"
"98",26,8000,32000,0,8,24,"Alto"
"99",26,8000,16000,0,8,16,"Alto"
"100",480,96,512,0,1,1,"Bajo"
"101",203,1000,2000,0,1,5,"Medio"
"102",115,512,6000,16,1,6,"Medio"
"103",1100,512,1500,0,1,1,"Bajo"
"104",1100,768,2000,0,1,1,"Bajo"
"105",600,768,2000,0,1,1,"Bajo"
"106",400,2000,4000,0,1,1,"Medio"
"107",400,4000,8000,0,1,1,"Medio"
"108",900,1000,1000,0,1,2,"Bajo"
"109",900,512,1000,0,1,2,"Bajo"
"110",900,1000,4000,4,1,2,"Bajo"
"111",900,1000,4000,8,1,2,"Bajo"
"112",900,2000,4000,0,3,6,"Medio"
"113",225,2000,4000,8,3,6,"Medio"
"114",225,2000,4000,8,3,6,"Medio"
"115",180,2000,8000,8,1,6,"Medio"
"116",185,2000,16000,16,1,6,"Medio"
"117",180,2000,16000,16,1,6,"Medio"
"118",225,1000,4000,2,3,6,"Medio"
"119",25,2000,12000,8,1,4,"Medio"
"120",25,2000,12000,16,3,5,"Medio"
"121",17,4000,16000,8,6,12,"Alto"
"122",17,4000,16000,32,6,12,"Alto"
"123",1500,768,1000,0,0,0,"Bajo"
"124",1500,768,2000,0,0,0,"Bajo"
"125",800,768,2000,0,0,0,"Bajo"
"126",50,2000,4000,0,3,6,"Medio"
"127",50,2000,8000,8,3,6,"Medio"
"128",50,2000,8000,8,1,6,"Medio"
"129",50,2000,16000,24,1,6,"Medio"
"130",50,2000,16000,24,1,6,"Medio"
"131",50,8000,16000,48,1,10,"Alto"
"132",100,1000,8000,0,2,6,"Bajo"
"133",100,1000,8000,24,2,6,"Medio"
"134",100,1000,8000,24,3,6,"Medio"
"135",50,2000,16000,12,3,16,"Medio"
"136",50,2000,16000,24,6,16,"Medio"
"137",50,2000,16000,24,6,16,"Medio"
"138",150,512,4000,0,8,128,"Medio"
"139",115,2000,8000,16,1,3,"Medio"
"140",115,2000,4000,2,1,5,"Medio"
"141",92,2000,8000,32,1,6,"Medio"
"142",92,2000,8000,32,1,6,"Medio"
"143",92,2000,8000,4,1,6,"Medio"
"144",75,4000,16000,16,1,6,"Medio"
"145",60,4000,16000,32,1,6,"Alto"
"146",60,2000,16000,64,5,8,"Medio"
"147",60,4000,16000,64,5,8,"Alto"
"148",50,4000,16000,64,5,10,"Alto"
"149",72,4000,16000,64,8,16,"Alto"
"150",72,2000,8000,16,6,8,"Alto"
"151",40,8000,16000,32,8,16,"Alto"
"152",40,8000,32000,64,8,24,"Alto"
"153",35,8000,32000,64,8,24,"Muy alto"
"154",38,16000,32000,128,16,32,"Muy alto"
"155",48,4000,24000,32,8,24,"Alto"
"156",38,8000,32000,64,8,24,"Muy alto"
"157",30,16000,32000,256,16,24,"Muy alto"
"158",112,1000,1000,0,1,4,"Bajo"
"159",84,1000,2000,0,1,6,"Bajo"
"160",56,1000,4000,0,1,6,"Bajo"
"161",56,2000,6000,0,1,8,"Bajo"
"162",56,2000,8000,0,1,8,"Medio"
"163",56,4000,8000,0,1,8,"Medio"
"164",56,4000,12000,0,1,8,"Medio"
"165",56,4000,16000,0,1,8,"Medio"
"166",38,4000,8000,32,16,32,"Medio"
"167",38,4000,8000,32,16,32,"Alto"
"168",38,8000,16000,64,4,8,"Alto"
"169",38,8000,24000,160,4,8,"Alto"
"170",38,4000,16000,128,16,32,"Alto"
"171",200,1000,2000,0,1,2,"Medio"
"172",200,1000,4000,0,1,4,"Medio"
"173",200,2000,8000,64,1,5,"Medio"
"174",250,512,4000,0,1,7,"Medio"
"175",250,512,4000,0,4,7,"Medio"
"176",250,1000,16000,1,1,8,"Medio"
"177",160,512,4000,2,1,5,"Medio"
"178",160,512,2000,2,3,8,"Medio"
"179",160,1000,4000,8,1,14,"Medio"
"180",160,1000,8000,16,1,14,"Medio"
"181",160,2000,8000,32,1,13,"Alto"
"182",240,512,1000,8,1,3,"Bajo"
"183",240,512,2000,8,1,5,"Bajo"
"184",105,2000,4000,8,3,8,"Bajo"
"185",105,2000,6000,16,6,16,"Medio"
"186",105,2000,8000,16,4,14,"Medio"
"187",52,4000,16000,32,4,12,"Alto"
"188",70,4000,12000,8,6,8,"Medio"
"189",59,4000,12000,32,6,12,"Alto"
"190",59,8000,16000,64,12,24,"Alto"
"191",26,8000,24000,32,8,16,"Alto"
"192",26,8000,32000,64,12,16,"Alto"
"193",26,8000,32000,128,24,32,"Muy alto"
"194",116,2000,8000,32,5,28,"Medio"
"195",50,2000,32000,24,6,26,"Alto"
"196",50,2000,32000,48,26,52,"Alto"
"197",50,2000,32000,112,52,104,"Alto"
"198",50,4000,32000,112,52,104,"Muy alto"
"199",30,8000,64000,96,12,176,"Muy alto"
"200",30,8000,64000,128,12,176,"Muy alto"
"201",180,262,4000,0,1,3,"Bajo"
"202",180,512,4000,0,1,3,"Bajo"
"203",180,262,4000,0,1,3,"Bajo"
"204",180,512,4000,0,1,3,"Bajo"
"205",124,1000,8000,0,1,8,"Medio"
"206",98,1000,8000,32,2,8,"Medio"
"207",125,2000,8000,0,2,14,"Medio"
"208",480,512,8000,32,0,0,"Medio"
"209",480,1000,4000,0,0,0,"Medio"
